status,x,y,z,azimuth,elevation,roll,button,quality,time,image_ts,image_filename
0x0000,239.204,178.705,-19.645,-125.813,-60.843,28.949,1,4,1743801353781,1743801353782,data_Color_1743801353782.02441406250000.png
0x0000,238.869,177.366,-19.645,-126.784,-60.614,29.961,1,4,1743801353848,1743801353849,data_Color_1743801353849.40234375000000.png
0x0000,238.534,176.361,-19.31,-127.813,-60.387,31.136,1,4,1743801353914,1743801353916,data_Color_1743801353916.48168945312500.png
0x0000,238.311,175.692,-18.529,-129.181,-59.951,32.733,1,4,1743801353981,1743801353983,data_Color_1743801353983.61962890625000.png
0x0000,238.423,175.133,-17.859,-130.96,-59.356,34.775,1,4,1743801354047,1743801354051,data_Color_1743801354051.13647460937500.png
0x0000,238.423,174.91,-17.19,-132.608,-58.717,36.73,1,4,1743801354114,1743801354118,data_Color_1743801354118.09423828125000.png
0x0000,238.534,174.687,-16.632,-133.854,-58.222,38.278,1,4,1743801354180,1743801354185,data_Color_1743801354185.32592773437500.png
0x0000,238.646,174.575,-15.962,-134.944,-57.682,39.598,1,4,1743801354247,1743801354252,data_Color_1743801354252.61279296875000.png
0x0000,238.646,174.464,-15.627,-135.948,-57.149,40.765,1,4,1743801354313,1743801354319,data_Color_1743801354319.59130859375000.png
0x0000,238.423,174.464,-15.292,-137.058,-56.434,42.126,1,4,1743801354391,1743801354386,data_Color_1743801354386.85449218750000.png
0x0000,238.311,174.352,-14.957,-137.636,-56.119,42.852,1,4,1743801354458,1743801354454,data_Color_1743801354454.06591796875000.png
0x0000,238.423,174.352,-14.846,-137.788,-56.132,43.029,1,4,1743801354524,1743801354521,data_Color_1743801354521.23706054687500.png
0x0000,238.423,174.352,-14.734,-137.818,-56.17,43.045,1,4,1743801354591,1743801354588,data_Color_1743801354588.51806640625000.png
0x0000,238.423,174.241,-14.622,-137.829,-56.195,43.043,1,4,1743801354658,1743801354655,data_Color_1743801354655.66870117187500.png
0x0000,238.423,174.241,-14.511,-137.859,-56.245,43.058,1,4,1743801354724,1743801354722,data_Color_1743801354722.82958984375000.png
0x0000,238.311,174.352,-14.288,-137.985,-56.258,43.209,1,4,1743801354791,1743801354789,data_Color_1743801354789.93286132812500.png
0x0000,238.199,174.464,-14.064,-138.128,-56.27,43.387,1,4,1743801354857,1743801354857,data_Color_1743801354857.25317382812500.png
0x0000,238.088,174.464,-13.953,-138.269,-56.258,43.557,1,4,1743801354924,1743801354924,data_Color_1743801354924.39208984375000.png
0x0000,237.976,174.352,-13.841,-138.428,-56.232,43.718,1,5,1743801354990,1743801354991,data_Color_1743801354991.59790039062500.png
0x0000,237.976,174.352,-13.841,-138.586,-56.207,43.888,1,5,1743801355057,1743801355058,data_Color_1743801355058.97290039062500.png
0x0000,237.865,174.352,-13.618,-138.938,-56.157,44.218,1,5,1743801355123,1743801355125,data_Color_1743801355125.93090820312500.png
0x0000,237.53,174.352,-13.171,-139.836,-56.007,45.08,1,5,1743801355190,1743801355193,data_Color_1743801355193.50512695312500.png
0x0000,237.195,173.794,-13.171,-140.976,-55.448,46.186,1,5,1743801355257,1743801355260,data_Color_1743801355260.51049804687500.png
0x0000,237.195,172.566,-13.953,-142.539,-54.245,47.795,1,5,1743801355323,1743801355327,data_Color_1743801355327.70605468750000.png
0x0000,237.53,170.78,-14.846,-144.404,-52.856,49.65,1,5,1743801355390,1743801355394,data_Color_1743801355394.82836914062500.png
0x0000,237.418,169.218,-14.957,-146.987,-50.907,52.245,1,5,1743801355467,1743801355462,data_Color_1743801355462.08764648437500.png
0x0000,236.972,168.101,-14.399,-149.009,-49.293,54.34,1,5,1743801355534,1743801355529,data_Color_1743801355529.19287109375000.png
0x0000,236.972,166.65,-13.953,-150.355,-48.19,55.734,1,5,1743801355601,1743801355596,data_Color_1743801355596.28247070312500.png
0x0000,237.306,164.753,-14.064,-151.349,-47.43,56.565,1,6,1743801355667,1743801355663,data_Color_1743801355663.81079101562500.png
0x0000,237.53,162.967,-14.734,-152.219,-46.63,57.208,1,6,1743801355734,1743801355730,data_Color_1743801355730.61669921875000.png
